osm_id,osm_type,capacity,aeroway,building,amenity,layer,surface,railway,parking,public_transport,operator,name,longitude,latitude,geom_type
"242446794",ways_poly,,,,parking,,,,surface,,,,106.908618970372,47.9146462437407,POLYGON
"241212134",ways_poly,,,,parking,,,,surface,,,,106.925918578008,47.9244168434001,POLYGON
"385802140",ways_poly,"300",,,parking,,asphalt,,carports,,,,106.917796904323,47.9179043479783,POLYGON
"386676721",ways_poly,,,,parking,,,,,,,,106.92533430177,47.930062536469,POLYGON
"388178402",ways_poly,,,,parking,,,,,,,,106.878841216215,47.913051417701,POLYGON
"1180001125",ways_poly,,,,parking,,,,,,,,106.854828042786,47.8788738183685,POLYGON
"526045561",ways_poly,,,,parking,,,,,,,,106.853196695998,47.8797102449693,POLYGON
"526045558",ways_poly,,,,parking,,,,,,,,106.852032119057,47.8797322403427,POLYGON
"1064760484",ways_poly,,,,parking,,,,,,,,107.010716623643,47.9338356716776,POLYGON
"386895921",ways_poly,,terminal,yes,,,,,,,,"""МИАТ"" карго",106.756651920959,47.8537933684136,POLYGON
"678683212",ways_poly,,,,parking,,,,,,,,107.042034679597,47.8784338384933,POLYGON
"871394852",ways_poly,,,yes,parking,,,,,,,,106.98121385,47.882118,POLYGON
"678683215",ways_poly,,,,parking,,,,,,,,107.042350653259,47.8788589336456,POLYGON
"386184690",ways_poly,,,,parking,,,,,,,Машины зогсоол,106.910713949205,47.8943898069177,POLYGON
"727562594",ways_poly,,,,parking,,,,,,,,106.902821070804,47.8659077943177,POLYGON
"727562593",ways_poly,,,,parking,,,,,,,,106.90217200186,47.8657400740627,POLYGON
"158628958",ways_poly,,,,parking,,,,surface,,,,106.912848373192,47.8948388779879,POLYGON
"386893335",ways_poly,,,,parking,,,,,,,,106.900815311924,47.9152532383906,POLYGON
"866899875",ways_poly,,,,parking,,,,,,,,106.89538609653,47.9063928461921,POLYGON
"860307981",ways_poly,,,,parking,,,,,,,,106.882333830279,47.9176970519696,POLYGON
"870736131",ways_poly,,,,parking,,,,,,,,106.870834560067,47.9031870321232,POLYGON
"870786981",ways_poly,,,,parking,,,,,,,,106.862778374645,47.9031065245562,POLYGON
"388178652",ways_poly,,,,parking,,,,,,,,106.87403547646,47.9101039390903,POLYGON
"845971017",ways_poly,,,,parking,,,,,,,,106.756894293518,47.8540794407076,POLYGON
"386515877",ways_poly,,,,parking,,,,,,,,106.844992848608,47.9159593210831,POLYGON
"865935180",ways_poly,,,,parking,,,,,,,,106.846551959412,47.9119879811724,POLYGON
"862474024",ways_poly,,,,parking,,,,,,,,106.977468704337,47.9157742949927,POLYGON
"386905551",ways_poly,,,,parking,,,,,,,,106.905063456772,47.9121822073811,POLYGON
"386904302",ways_poly,,,,parking,,,,,,,,106.901945274745,47.9099204155138,POLYGON
