station_name,station_id
Хөх Тэнгэр хотхон,000000676
Налайх МТ ШТС,000000674
Ногооны зоорь,000000469
Усан сан,000000877
Ургах наран хороолол,000000471
Чулуутын гүүр,000001425
Петровис ШТС,000001429
Эмийн Ургамал,000000869
Хонхор Дэнж,000000474
Оргил Налайх,000000901
Шинэ налайх хороолол,000001132
НАЛАЙХ,000000476
Галын буудал,000001460
Соёлын ордон,000001461
Налайх,000001463
Налайх дунд 1,000001334
Налайх дунд 2,000001336
Энгэр Шанд,000000921
Мэлхий хад,000001126
Тэрэлж 6-р хороо,000001136
Тэрэлж Усан сан,000001137
Шилжрээ,000001139
10 ШАР БАЙР,000000477
Содон Төв,000000872
Галын буудал,000000874
Соёлын ордон,000000876
Налайх,000000475
Шинэ налайх хороолол,000001131
Оргил Налайх,000000902
Хонхор Дэнж,000000473
Эмийн Ургамал,000000870
Петровис ШТС,000001428
Чулуутын гүүр,000001424
Ургах наран хороолол,000000470
Усан сан,000000878
Ногооны зоорь,000000468
Налайх МТ ШТС,000000673
Хөх Тэнгэр хотхон,000000675
Баянзүрх ШБ товчоо,000000467
Хангамж 8-р зогсоол,000000394
Амгалан,000000392
12-ын буудал,000000390
Ботаник,000000388
Хууль сахиулах их сургууль,000000386
Шөнийн дэлгүүр,000000384
Чулуун овоо,000000382
Икс апартмент,000001402
Офицеруудын ордон,000000380
Офицеруудын ордон,000000379
Түргэний гол эцэс,000000574
Өлзийт 9,000001204
Өлзийт 8,000001202
Өлзийт 7,000001200
Өлзийт 6,000001198
Өлзийт 5,000001196
ХУД 14-р хороо,000000808
Өлзийтийн 3-р буудал,000000575
Өлзийтийн 2-р буудал,000000569
Өлзийтийн 1-р буудал,000000571
Айдсын даваа,000000566
Жаргалан ЭКО,000000936
Яармаг ШБ товчоо,000000564
Үндэсний биеийн тамирын ДС,100000113
Архивын ерөнхий газар,000000807
Шинэ яармаг хороолол,000000627
Буянт-Ухаа спорт цогцолбор,000000562
118-р Сургууль,000000716
Яармагийн 4-р буудал,000000519
Эмнэлгийн буудал,000000521
Яармагийн 3-р буудал,000000523
Яармагийн 3-р буудал,000000524
Туул тосгон шинэ эцэс,000001345
Дундын зогсоол,000001344
Туул тосгон,000000490
4-р Хэсэг,000000810
Усны аж ахуй,000001505
Шинэ суурьшил,000000491
7-р хэсэг,000000818
Шинэ мах комбинат,000000816
Дэвшлийн талбай,000000846
Монос,000000495
Бетонон гүүрний буудал,000000493
Таван толгой,000001390
Мод үржүүлэг,000000497
Мод үржүүлэг,000001393
Цэргийн анги,000001389
Хабитат хороолол,000000811
Хабитат 1,000001387
Цээл,000000814
Био комбинат,000000499
Био завсар,000001585
Био дэнж,000001395
Морингийн даваа,000000501
Буянт ухаа-1,000000503
Нисэхийн дэнж,000000512
ИНЕГ,000000510
Буянт-ухаа спорт цогцолбор,000000138
118-р Сургууль,000000716
Яармагийн 4-р буудал,000000519
Эмнэлгийн буудал,000000521
Яармагийн 3-р буудал,000000523
Найрамдал зуслан,000000883
Биг дэлгүүр,100000022
Баянгол дэлгүүр,100000024
Хаадын зам,100000025
Баянголын ам,000000663
Орбитын шинэ эцэс,000000894
Орбит 2,000000662
Орбит 1,000000660
Улаан дэлгүүр,000000034
Зааны төгөл цэцэрлэг,000000888
Тойрог,000000890
Шинэ зам 1,000001414
Шинэ зам 2,000001416
Гүүрний буудал,000000079
Өрхийн эмнэлэг,000000077
42-р сургууль,000000075
Цэргийн хотхон,000000072
Нефть хотхон,000000024
10 буудал,000000022
5 Шар,000000020
190-р цэцэрлэг,000001448
Цэргийн анги,000001389
Хабитат хороолол,000000811
Хабитат 1,000001387
Цээл,000000814
Био комбинат,000000499
Био завсар,000001585
Био дэнж,000001395
Морингийн даваа,000000501
Буянт ухаа-1,000000503
Нисэхийн дэнж,000000512
ИНЕГ,000000510
Буянт-ухаа спорт цогцолбор,000000138
Яармагийн дэнж-1,000001285
Яармагийн дэнж,000000514
Элиганс хороолол,000001287
Сонсголон завсар,000001289
Бетон зуурмаг,000001291
Карьер,000000046
Сонсголон ШТС,000001293
Дэвшил компани,000000044
Мах маркет,000000042
Монос эмийн үйлдвэр,000000040
19-р сургууль,000000038
5 Шар,000000020
5 Шар,000000021
5 Шар,000000020
Монгол хюндэй киа компани,000000018
32-р байр,000000011
Хар хорин,000000009
Цамбагарав,000000006
Саппоро,000000004
3-р эмнэлэг,000000147
10-р хороолол,000000149
25-р Эмийн сан,000000151
ТБД андууд,000001225
Баруун 4 зам,000000274
Улсын Их Дэлгүүр,000000273
Хүнсний 20,100000039
Сүхбаатарын талбай,000000279
Өргөө амаржих газар,000000281
Бөхийн өргөө,000000369
Зүүн 4 зам,000000371
Жуковын музей,000000373
Монгол кино үйлдвэр,000000375
Баянзүрх дүүрэг,000000377
Офицеруудын ордон,000000379
Офицеруудын ордон,000000380
Гадна тойруугийн эцэс,100000201
Гадна тойруу 4,000001560
21-р хороо завсар,000000364
Дарь эх хуучин эцэс,000000487
Дарь эх дунд буудал,000000483
Хас зах,000001431
Сансар ШТС,000000417
Сансарын үйлчилгээний төв,000000413
Хавдар судлалын эмнэлэг,000000401
Улаанбаатар их сургууль,000000406
Их монгол хороолол,000001445
Сүмбэр Орд,000000773
