station_id,latitude,longitude
000001285,47.86223,106.78815
000000514,47.86684,106.78665
000001287,47.87232,106.78446
000001289,47.88014,106.78464
000001291,47.88411,106.78512
000000046,47.88821,106.78533
000001293,47.89273,106.7855
000000044,47.8986,106.7857
000000042,47.90198,106.78585
000000040,47.90607,106.78602
000000933,48.01749,106.7845
100000111,48.01176,106.78784
100000110,48.00797,106.79001
100000108,48.00278,106.79494
100000106,47.99714,106.79814
100000104,47.99252,106.79997
000000130,47.98751,106.80177
000001280,47.9806,106.80332
000000132,47.97658,106.80406
000001610,47.9743,106.80488
000000128,47.97022,106.80734
000001278,47.96741,106.81171
000000654,47.96276,106.81687
000000126,47.95971,106.8206
000000105,47.95324,106.82592
000000103,47.94834,106.82491
000000101,47.94496,106.82122
000000649,47.94194,106.81561
000000749,47.93484,106.81131
000000751,47.93159,106.81133
000000753,47.92799,106.80987
000000062,47.9214,106.81447
000000052,47.9205,106.81679
000000050,47.91711,106.81808
000000048,47.91108,106.81868
000000966,47.95756,106.80896
000000968,47.95269,106.80913
000000970,47.94911,106.80775
000000972,47.94525,106.80745
000000974,47.93497,106.81125
000001412,47.91006,106.81549
000000255,47.92698,106.90336
000000253,47.92344,106.90109
000000251,47.9197,106.89888
000000155,47.91517,106.89281
000000153,47.9149,106.8863
000001403,47.91128,106.88384
000000671,47.90902,106.88512
000000724,47.89865,106.86052
000000560,47.9017,106.85715
000000635,47.90468,106.85564
000000145,47.91468,106.85505
000000161,47.92143,106.85921
000000169,47.9242,106.889
000000170,47.92584,106.88388
000000171,47.925110000000004,106.87889
000000188,47.92495,106.87275
000000634,47.90452,106.85542
000000561,47.90069,106.8574
000000725,47.89885,106.86149
000000533,47.89923,106.8677
000000770,47.94663,106.97531
000001544,47.94697,106.97064
000000441,47.94298,106.96946
000000762,47.94043,106.96883
000000764,47.93749,106.96724
000000766,47.93303,106.9652
000000768,47.92883,106.9658
000000424,47.924080000000004,106.97287
000000427,47.92231,106.97403
000000584,47.91786,106.97345
000000378,47.91662,106.96472
000000376,47.91705,106.95984
000000374,47.91804,106.94882
000000414,47.92571,106.94168
000001547,47.94984,106.96836
000001549,47.95406,106.96271
000001551,47.95398,106.95046
000001555,47.94965,106.93107
000001557,47.94979,106.92196
000001559,47.9491,106.91508
000000302,47.9377,106.92088
000000303,47.93125,106.92722
000000305,47.92986,106.92837
000000372,47.919,106.94169
000000370,47.91849,106.93232
000000585,47.91811,106.92596
100000131,47.91707,106.91796
000000193,47.91655,106.90946
100000010,47.91592,106.90221
000001154,47.91585,106.89122
000000159,47.91914,106.8909
000000117,47.9597,106.83873
000000114,47.9554,106.84197
000000641,47.9533,106.85314
000000643,47.95068,106.85972
000001295,47.9478,106.86531
000000140,47.9456,106.86969
000000142,47.94344,106.87533
000001436,47.94117,106.88114
000000195,47.938,106.88335000000001
000000197,47.93102,106.88798
000000199,47.92661,106.89373
000000745,47.91699,106.85184
000000746,47.91692,106.8465
000000017,47.9169,106.8386
000000013,47.91552,106.83227
000000116,47.95524,106.83897
000000625,47.95553,106.8339
000000113,47.95628,106.8275
000000099,47.93648,106.81485
000000097,47.93307,106.81611
000000056,47.92835,106.81657
000000054,47.92403,106.8161
000001404,47.912,106.88403
000000152,47.91456,106.87856
000000186,47.91838,106.86892
000000184,47.91884,106.85848
000000163,47.92231,106.8686
000000166,47.92244,106.87282
000000167,47.92258,106.87834
000000168,47.92292,106.88698
000000176,47.92452,106.89389
000000260,47.93405,106.90688
000000215,47.93986,106.90557
000000214,47.94398,106.90303
000000212,47.94623,106.90027
000000210,47.9483,106.89761
000000208,47.95108,106.89238
000000205,47.95243,106.88864
000001439,47.95575,106.88426
000000204,47.95871,106.8814
000000180,47.90896,106.89058
000000179,47.9116,106.89483
000000248,47.91639,106.89559
000000250,47.92033,106.89947
000000252,47.92514,106.90193
000000254,47.92724,106.90413
000000678,47.9588,106.88172
000000265,47.93957,106.91184
000000263,47.93588,106.90799
000000261,47.93281,106.90564
000000008,47.9119,106.83945
000000010,47.91136,106.83255
000000019,47.9107,106.824
000000047,47.91267,106.8187
000000049,47.91654,106.8184
000000051,47.92084,106.81699
000000061,47.92149,106.81265
000000230,48.00035,106.87386
000000229,47.99476,106.87724
000000227,47.98982,106.88147
000000232,47.98506,106.88299
000000225,47.9812,106.88808
000000235,47.97776,106.8929
000000234,47.97442,106.90091
000000238,47.97142,106.90528
000000665,47.96955,106.91168
000000201,47.92388,106.911
000000203,47.91784,106.9116
000000262,47.93753,106.90946
000000264,47.93951,106.91273
000000266,47.94484,106.91446
000000268,47.95046,106.91423
000000246,47.95517,106.91539
000000244,47.95874,106.91631
000001443,47.96166,106.91709
000000242,47.96576,106.91752
000000239,47.96913,106.91556
000000664,47.96999,106.91064
000000237,47.97261,106.90359
000000233,47.97497,106.89985
000000236,47.97821,106.89253
000000226,47.98238,106.88667
000000231,47.98556,106.88303
000001468,47.99021,106.88138000000001
000000228,47.99579,106.87677
000001531,47.85607,106.76549
000001467,47.8907,106.79283
000001303,47.89082,106.80023
000001301,47.89122,106.81081
000001191,47.89365,106.81735
000001189,47.89745,106.82519
000001187,47.89838,106.83877
000001470,47.89883,106.84628
000001186,47.90065,106.85099
000000706,47.98332,106.95759
000000704,47.98106,106.94996
000000591,47.97763,106.93792
000000479,47.9735,106.93149
000000488,47.97118,106.93043
000001162,47.96497,106.93101
000001164,47.95962,106.93353
000000481,47.95508,106.93382
000000485,47.95078,106.93288
000000709,47.90694,107.00376
000000710,47.90522,106.99549
000000682,47.90726,106.99379
000001140,48.01703,106.92511
000000644,48.01369,106.93011
000000794,48.01106,106.93444
100000045,48.00602,106.93655
000000803,48.00213,106.93788
000000680,47.99771,106.93925
000000801,47.99084,106.93769
000000321,47.98716,106.93682
000000799,47.98141,106.93491
000000316,47.97747,106.92752
000000804,47.91413,106.89456
000000189,47.90951,106.89276
000001179,48.04162,106.96591
000001177,48.03551,106.96432
000001175,48.03052,106.96387
000001173,48.02498,106.96336
000001171,48.01757,106.96764
000001169,48.01253,106.97146
000001167,48.00809,106.97635
000000595,48.00276,106.9762
000000593,47.9992,106.97285
000000598,47.9959,106.96672
000000328,47.99209,106.959
000000326,47.98947,106.95371
000000599,47.98631,106.94723
000000324,47.98451,106.94358
000000318,47.98207,106.93905
000000361,48.05783,107.00335
000000726,48.04972,107.00315
000000728,48.04518,107.00283
000000730,48.04009,107.00299
000000732,48.03529,107.00292
000000734,48.02974,107.00079
000000736,48.02349,106.99744
000000738,48.02049,106.99546
000000740,48.01585,106.9901
000000742,48.01123,106.98415
000000360,48.00953,106.98219
000000597,48.00662,106.97963
