id,trip_id,sequence_number,start_bus_stop,end_bus_stop
483,26,17,000000541,000000539
484,26,18,000000539,000000535
485,26,19,000000535,000000532
486,26,20,000000532,000001464
487,27,1,000000036,000000820
488,27,2,000000820,000000822
489,27,3,000000822,000000824
490,27,4,000000824,000000826
491,27,5,000000826,000000828
492,27,6,000000828,000000830
493,27,7,000000830,000000832
494,27,8,000000832,000000834
495,27,9,000000834,000000836
496,27,10,000000836,000000838
497,27,11,000000838,000000032
498,27,12,000000032,000000841
499,27,13,000000841,000000847
500,27,14,000000847,000000843
501,27,15,000000843,000000031
502,27,16,000000031,000000029
503,27,17,000000029,000000892
504,27,18,000000892,000000027
505,27,19,000000027,000000024
506,27,20,000000024,000000022
507,27,21,000000022,000000020
508,27,22,000000020,000000018
509,27,23,000000018,000000011
510,27,24,000000011,000000009
511,27,25,000000009,000000006
512,27,26,000000006,000000004
513,27,27,000000004,000000147
514,27,28,000000147,000000148
515,28,1,000000505,000000507
516,28,2,000000507,000000509
517,28,3,000000509,000000503
518,28,4,000000503,000000512
519,28,5,000000512,000000510
520,28,6,000000510,000000138
521,28,7,000000138,000001285
522,28,8,000001285,000000514
523,28,9,000000514,000001287
524,28,10,000001287,000001289
525,28,11,000001289,000001291
526,28,12,000001291,000000046
527,28,13,000000046,000001293
528,28,14,000001293,000000044
529,28,15,000000044,000000042
530,28,16,000000042,000000040
531,28,17,000000040,000000038
532,28,18,000000038,000000020
533,29,1,000000933,100000111
534,29,2,100000111,100000110
535,29,3,100000110,100000108
536,29,4,100000108,100000106
537,29,5,100000106,100000104
538,29,6,100000104,000000130
539,29,7,000000130,000001280
540,29,8,000001280,000000132
541,29,9,000000132,000001610
542,29,10,000001610,000000128
543,29,11,000000128,000001278
544,29,12,000001278,000000654
545,29,13,000000654,000000126
546,29,14,000000126,000000105
547,29,15,000000105,000000103
548,29,16,000000103,000000101
549,29,17,000000101,000000649
550,29,18,000000649,000000749
551,29,19,000000749,000000751
552,29,20,000000751,000000753
553,29,21,000000753,000000062
554,29,22,000000062,000000052
555,29,23,000000052,000000050
556,29,24,000000050,000000048
557,29,25,000000048,000000018
558,29,26,000000018,000000011
559,29,27,000000011,000000009
560,29,28,000000009,000000006
561,29,29,000000006,000000004
562,29,30,000000004,000000147
563,29,31,000000147,000000149
564,29,32,000000149,000000150
565,30,1,000000130,000001280
566,30,2,000001280,000000132
567,30,3,000000132,000001610
568,30,4,000001610,000000128
569,30,5,000000128,000001278
570,30,6,000001278,000000966
571,30,7,000000966,000000968
572,30,8,000000968,000000970
573,30,9,000000970,000000972
574,30,10,000000972,000000974
575,30,11,000000974,000000751
576,30,12,000000751,000000753
577,30,13,000000753,000000062
578,30,14,000000062,000000052
579,30,15,000000052,000000050
580,30,16,000000050,000000048
581,30,17,000000048,000001412
582,31,1,000000417,000000413
583,31,2,000000413,000000401
584,31,3,000000401,000000406
585,31,4,000000406,000000651
586,31,5,000000651,000000311
587,31,6,000000311,000001503
588,31,7,000001503,000000285
589,31,8,000000285,000001407
590,31,9,000001407,000000178
591,32,1,000000416,000000306
592,32,2,000000306,000000270
593,32,3,000000270,000000257
594,32,4,000000257,000000255
595,32,5,000000255,000000253
596,32,6,000000253,000000251
597,32,7,000000251,000000155
598,32,8,000000155,000000153
599,32,9,000000153,000001403
600,32,10,000001403,000000671
601,33,1,000000636,000000724
602,33,2,000000724,000000560
603,33,3,000000560,000000635
604,33,4,000000635,000000145
605,33,5,000000145,000000161
606,34,1,000000177,000000169
607,34,2,000000169,000000170
608,34,3,000000170,000000171
609,34,4,000000171,000000188
610,34,5,000000188,000000162
611,34,6,000000162,000001396
612,34,7,000001396,000000634
613,34,8,000000634,000000561
