id,station_id,latitude,longitude
146,1262,48.02909,106.91126
147,338,48.02489,106.91328
148,1266,48.01941,106.91534
149,335,48.01522,106.9177
150,1296,48.01132,106.92089
151,1217,47.88011,106.57094
152,1218,47.87601,106.57736
153,100000231,47.88153,106.57958
154,100000229,47.88544,106.58418
155,1216,47.88728,106.59182
156,100000227,47.88163,106.59774
157,100000225,47.87814,106.60475
158,100000223,47.88403,106.63659
159,100000221,47.89158,106.65072
160,100000219,47.89721,106.66378
161,100000217,47.89908,106.67369
162,858,47.89957,106.68712
163,859,47.90032,106.70797
164,100000126,47.90062,106.7163
165,100000124,47.90186,106.73034
166,100000122,47.90236,106.74171
167,100000120,47.90395,106.74959
168,100000118,47.9047,106.75731
169,100000116,47.90558,106.76544
170,1441,47.90653,106.77638
171,38,47.90797,106.79295
172,633,47.90952,106.81329
173,21,47.90991,106.81352
174,1329,47.9352,106.53356
175,1381,47.90036,106.57315
176,1379,47.89248,106.58289
177,100000228,47.88544,106.58393
178,100000230,47.88161,106.57954
179,1214,47.81142,107.16189
180,1373,47.81431,107.16881
181,1375,47.81793,107.17155
182,473,47.8235,107.17132
183,870,47.85069,107.13789
184,1428,47.86012,107.12596
185,1424,47.86407,107.12013
186,470,47.87157,107.10942
187,878,47.87519,107.10477
188,468,47.88144,107.09497
189,673,47.8849,107.08644
190,675,47.88653,107.08199
191,467,47.88798,107.07162
192,394,47.90386,107.024
193,392,47.90677,107.01424
194,390,47.90918,107.00749
195,388,47.91263,107.00079
196,1402,47.91446,106.97501
197,1220,47.8891,106.68251
198,1219,47.89231,106.68621
199,946,47.89601,106.69573
200,919,47.92812,106.61941
201,917,47.91542,106.62954
202,849,47.90851,106.62814
203,851,47.90804,106.63675
204,854,47.90245,106.64447
205,1586,48.1291,106.62594
206,1588,48.12606,106.63665
207,1590,48.1249,106.64302
208,1592,48.12138,106.64965
209,1594,48.10109,106.62037
210,1596,48.06376,106.57184
211,1598,48.00721,106.55119
212,1600,48.0004,106.5491
213,1603,48.00323,106.54085
214,1602,48.00309,106.54093
215,100000215,47.76466,107.27215
216,100000232,47.76651,107.26242
217,871,47.76754,107.24878
218,1568,47.76683,107.24377
219,1570,47.76941,107.23955
220,1571,47.77179,107.23267
221,1132,47.77745,107.24113
222,350,48.06906,106.93177
223,1605,48.06796,106.92595
224,1607,48.06566,106.92189
225,352,48.06214,106.91612
226,353,48.05878,106.90878
227,881,47.78116,107.39184
228,1331,47.77729,107.38781
229,1562,47.77551,107.37843
230,1563,47.77722,107.36995
231,698,47.78034,107.34612
232,920,47.78848,107.25909
233,1335,47.78633,107.24955
234,1333,47.78165,107.24954
235,476,47.77668,107.25198
236,875,47.77257,107.2537
237,873,47.76991,107.25217
238,477,47.76716,107.24583
239,1401,47.9141,106.97512
240,381,47.91228,106.98419
241,383,47.91254,106.98937
242,385,47.91297,106.99748
243,387,47.91195,107.00181
244,389,47.90859,107.00833
245,391,47.90654,107.0146
246,393,47.90329,107.02555
247,466,47.88795,107.07026
248,676,47.88636,107.08159
249,674,47.88422,107.08748
250,469,47.87877,107.09907
251,877,47.87452,107.10531
252,471,47.8709,107.11002
253,1425,47.86332,107.12084
254,1429,47.85894,107.12725
255,869,47.85049,107.13781
256,474,47.82331,107.17131
257,901,47.79118,107.2172
258,1460,47.77015,107.25265
259,1461,47.7726,107.25379
260,1463,47.77668,107.25254
261,1334,47.78248,107.24961
262,1336,47.78733,107.2496
263,921,47.78838,107.25949
264,1126,47.90826,107.42382
265,1136,47.9887,107.458
266,1137,47.99039,107.45505
267,1139,47.98467,107.43358
268,872,47.76722,107.24846
269,874,47.77022,107.2528
270,876,47.77269,107.25383
271,475,47.77688,107.25136
272,1131,47.77744,107.24023
273,902,47.79108,107.2175
274,574,47.78861,106.64226
275,1204,47.78666,106.65026
276,1202,47.78614,106.66243
277,1200,47.78547,106.67163
278,1198,47.78615,106.68305
279,1196,47.78653,106.6965
280,808,47.79071,106.70879
281,575,47.78196,106.71701
282,569,47.77806,106.72713
283,571,47.77701,106.73465
284,566,47.78871,106.74685
285,936,47.82226,106.76312
286,564,47.82853,106.78402
287,100000113,47.83483,106.78825
288,524,47.86737,106.8177
289,1345,47.75108,106.54387
290,1344,47.75215,106.55007
291,490,47.75465,106.56336
292,810,47.75634,106.57312
293,1505,47.75823,106.57816
294,491,47.76323,106.59302
295,818,47.76854,106.60142
296,816,47.7764,106.61105
297,846,47.78103,106.61606
298,495,47.78467,106.62006
299,493,47.79272,106.62762
300,1390,47.80289,106.63473
301,497,47.80907,106.63938
302,1393,47.81473,106.64513
303,1389,47.82774,106.6585
304,811,47.83062,106.66161
305,1387,47.834,106.66387
306,814,47.83707,106.66771
307,499,47.843,106.67904
308,1585,47.84167,106.68364
309,1395,47.83981,106.69282
310,501,47.84491,106.73037
311,503,47.85607,106.76553
312,512,47.85614,106.77161
313,510,47.85625,106.77835
314,138,47.85672,106.78332
315,883,48.01798,106.7321
316,100000022,47.99314,106.71521
317,100000024,47.96739,106.71226
318,100000025,47.9538,106.71652
319,663,47.94433,106.71932
320,894,47.93674,106.72344
321,662,47.93183,106.72773
322,660,47.92808,106.7335
323,34,47.92524,106.74032
324,888,47.92071,106.7452
325,890,47.91647,106.74986
326,1414,47.91662,106.75431
327,1416,47.91777,106.7615
328,79,47.91754,106.77057
329,77,47.91571,106.77343
330,75,47.91371,106.7764
331,72,47.91277,106.7824
332,24,47.91047,106.78749
333,22,47.90955,106.79976
334,1448,47.82703,106.6579
335,100000201,47.95406,106.95025
336,1560,47.9513,106.94383
337,364,47.95021,106.93924
338,487,47.94084,106.93181
339,483,47.93523,106.93181
340,1431,47.93132,106.93389
341,417,47.92794,106.93897
342,413,47.92355,106.94195
343,401,47.91484,106.94377
344,406,47.91104,106.94343
345,1445,47.90647,106.94323
346,773,47.90484,106.93836
347,771,47.90455,106.93121
348,546,47.90456,106.92353
349,544,47.90435,106.91685
350,1337,47.9001,106.90897
351,541,47.89913,106.89971
352,539,47.89754,106.88838
353,535,47.8945,106.87959
354,532,47.89555,106.87335
355,1464,47.89925,106.86759
356,36,47.93571,106.68255
357,820,47.93055,106.687
358,822,47.92506,106.69163
359,824,47.92105,106.69599
360,826,47.91821,106.70026
361,828,47.91432,106.70607
