end_time_at_start_point,station_list,result_code,line_name,line_id,weekday_interval,start_time_at_end_point,holiday_interval,start_time_at_start_point,line_type,end_time_at_end_point,direction
21:58,"['000000416', '000000306', '000000270', '000000257', '000000255', '000000253', '000000251', '000000155', '000000153', '000001403', '000000671']",1,Ч:17Б (Sansar gas station-Railway station),11100172,10,07:36,12,07:30,,22:28,start
21:48,"['000000636', '000000724', '000000560', '000000635', '000000145', '000000161']",1,Ч:18А (3rd power plant-Hospital for Injury and Trauma),11100181,10,07:35,12,07:30,,22:06,start
22:05,"['000000177', '000000169', '000000170', '000000171', '000000188', '000000162', '000001396', '000000634', '000000561', '000000725', '000000533']",1,Ч:18Б (Mongolian National University-3rd power plant),11100182,12,07:47,15,07:30,,22:39,start
21:06,"['000000770', '000001544', '000000441', '000000762', '000000764', '000000766', '000000768', '000000424', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000414']",1,Ч:19А (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv),11100191,8,08:05,9,07:30,,21:41,start
21:26,"['000000770', '000001544', '000001547', '000001549', '000001551', '000001560', '000000364', '000001555', '000001557', '000001559', '000000269', '000000267', '000000302', '000000303', '000000305', '000000417', '000000413']",1,Ч:19Б (Tsagaan davaany zadgai-Sansaryn uilchilgeenii tuv),11100192,8,07:51,9,07:30,,22:11,start
21:57,"['000000437', '000000436', '000000434', '000000431', '000000429', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000372', '000000370', '000000585', '100000131', '000000193', '100000010', '000000155', '000001154', '000000159', '000000182', '000000165', '000000164']",1,"Ч:2 (Shar khad final station-Final station of 3, 4th section)",11100020,4,07:34,5,07:30,,22:50,start
21:42,"['000000117', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000177', '000000182', '000000165', '000000164', '000000162', '000001396', '000000745', '000000746', '000000017', '000000013']",1,Ч:20А (Bayankhoshuu-Flat 34),11100201,6,08:07,7,07:30,,22:19,start
21:56,"['000000117', '000000116', '000000625', '000000113', '000000105', '000000103', '000000101', '000000649', '000000099', '000000097', '000000056', '000000054', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009']",1,Ч:20Б (Bayankhoshuu-Kharkhorin),11100202,8,08:07,12,07:30,,22:33,start
21:46,"['000000178', '000001404', '000000152', '000000186', '000000184', '000000161', '000000163', '000000166', '000000167', '000000168', '000000176', '000000260', '000000215', '000000214', '000000212', '000000210', '000000208', '000000205', '000001439', '000000204']",1,Ч:21А (Railway station-Autobus baaz),11100211,9,07:37,12,07:30,,22:27,start
21:43,"['000000671', '000000180', '000000179', '000000248', '000000250', '000000252', '000000254', '000000260', '000000215', '000000214', '000000212', '000000210', '000000208', '000000205', '000001439', '000000678']",1,Ч:21Б (Railway station-Autobus baaz),11100212,10,07:38,12,07:30,,22:21,start
21:51,"['000000335', '000001296', '000000333', '000000331', '000001258', '000001256', '000001254', '000000314', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000265', '000000263', '000000261', '000000255', '000000253', '000000251', '000000155', '000000153', '000000152', '000000150', '000000148', '000000005', '000000007', '000000008', '000000010', '000000019', '000000047', '000000049', '000000051', '000000061']",1,Ч:22Өв (Shadivlan-Chingis-Soosei international relations school),11100223,10,07:36,12,07:20,,23:15,start
21:51,"['000000230', '000000229', '000000227', '000000232', '000000225', '000000235', '000000234', '000000238', '000000665', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000300', '000000294', '000000201', '000000203']",1,Ч:23 (Zurkh Uul /Chingeltei final station/-Ard cinema),11100230,9,07:26,9,07:20,,22:36,start
21:46,"['000000163', '000000166', '000000167', '000000168', '000000176', '000000260', '000000262', '000000264', '000000266', '000000268', '000000246', '000000244', '000001443', '000000242', '000000239', '000000664', '000000237', '000000233', '000000236', '000000226', '000000231', '000001468', '000000228', '000000230']",1,Ч:24А (Duukhee market-Zurkh Uul /Chingeltei final station/),11100241,9,07:50,12,07:20,,22:36,start
21:47,"['000000505', '000000507', '000000509', '000001531', '000000512', '000000510', '000000138', '000001285', '000000514', '000001287', '000001289', '000001291', '000000046', '000001467', '000001303', '000001301', '000001191', '000001189', '000001187', '000001470', '000001186', '000000635', '000000145', '000000161', '000000163', '000000166', '000000167', '000000168', '000000176', '000000177']",1,Ч:24Б (Nisekh-Mongolian National University),11100240,8,07:48,10,07:30,,22:45,start
21:46,"['000000706', '000000704', '000000591', '000000479', '000000488', '000001162', '000001164', '000000481', '000000485', '000000487', '000000483', '000001431', '000000306', '000000270', '000000257', '000000177', '000000169', '000000170', '000000171', '000000188', '000000163']",1,Ч:25 (Toosgonii uildver final station-Duukhee market),11100250,5,07:35,7,07:30,,22:31,start
21:46,"['000000706', '000000704', '000000591', '000000479', '000000488', '000001162', '000001164', '000000481', '000000485', '000000487', '000000483', '000001431', '000000417', '000000413', '000000373', '000000375', '000000377', '000000379', '000001401', '000000381', '000000383', '000000385', '000000387', '000000709', '000000710', '000000682']",1,Ч:26 (Toosgonii uildver final station-Janjin club),11100260,10,07:30,12,07:20,,22:36,start
21:03,"['000001140', '000000644', '000000794', '100000045', '000000803', '000000680', '000000801', '000000321', '000000799', '000000316', '000000314', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000265', '000000263', '000000261', '000000255', '000000253', '000000251', '000000804', '000000189', '000000178']",1,Ч:27 (Uvur sogoot-Railway station),11100270,5,07:23,5,07:20,,22:00,start
21:56,"['000001179', '000001177', '000001175', '000001173', '000001171', '000001169', '000001167', '000000595', '000000593', '000000598', '000000328', '000000326', '000000599', '000000324', '000000318', '000000316', '000000314', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000300', '000000294', '000000201', '000000203']",1,Ч:28 (Selkh-Ard cinema),11100280,6,07:11,8,07:30,,22:47,start
21:20,"['000000361', '000000726', '000000728', '000000730', '000000732', '000000734', '000000736', '000000738', '000000740', '000000742', '000000360', '000000597', '000000595', '000000593', '000000598', '000000328', '000000326', '000000599', '000000324', '000000318', '000000601', '000000591', '000000479', '000000488', '000001162', '000001164', '000000481', '000000485', '000000487', '000000483', '000001431', '000000417', '000000415', '000000289', '000000287', '000000281']",1,Ч:29А (Selbe camp-Urguu maternity hospital),14100118,8,07:28,9,07:20,,22:22,start
22:25,"['000000415', '000000937', '000000370', '000000585', '100000131', '000000277', '000000189', '000000178']",1,Ч:29Б (Sansar /Tunnel/-Railway station),14100135,15,07:33,15,07:20,,22:52,start
21:07,"['000000399', '000000398', '000000396', '000000783', '000000394', '000000392', '000000390', '000000388', '000000386', '000000384', '000000382', '000001402', '000000380', '000000378', '000000376', '000000374', '000000414', '000000416', '000000306', '000000270', '000000257', '000000260', '000000215', '000000214', '000000212', '000000210']",1,Ч:31 (Uliastai new final station-Zam guuriin avto baaz),11100310,3,07:49,5,07:20,,22:12,start
21:48,"['000000380', '000000378', '000000376', '000000374', '000000401', '000000406', '000001445', '000000773', '000000771', '000000546', '000000544', '000001337', '000000541', '000000539', '000000535', '000000532', '000001464']",1,Ч:32Б (Officer station-3rd power plant),14100121,10,07:38,12,07:30,,22:28,start
22:02,"['000000335', '000001296', '000000333', '000000331', '000001258', '000001256', '000001254', '000000314', '000000241', '000000243', '000001444', '000000245', '000000247', '000000269', '000000267', '000000302', '000000303', '000000305', '000000417', '000000416']",1,Ч:33 (Shadivlan-Sansar gas station),11100330,4,07:20,6,07:20,,22:47,start
21:52,"['000000437', '000000436', '000000434', '000000431', '000000429', '000000425', '000000423', '000000418', '000000420', '000000362', '000001012', '000000289', '000001349', '000000203', '000000283', '000001337', '000000541', '000000539', '000000535', '000000532', '000000533']",1,Ч:34 (Shar khad final station-3rd power plant),11100340,3,07:17,4,07:20,,22:59,start
21:24,"['000000770', '000001362', '000000441', '000000762', '000000764', '000000766', '000000768', '000000423', '000000418', '000000420', '000000362', '000000416', '000000306', '000000294']",1,Ч:35 (Tsagaan davaany zadgai-4th market),11100350,5,07:51,7,07:20,,21:55,start
21:56,"['000000439', '000001399', '000000429', '000000427', '000000584', '000000380', '000000378', '000000376', '000000374', '000000372', '000000370', '000000585', '100000131', '000000193', '100000010', '000000155', '000000153', '000000152', '000000157']",1,Ч:37 (Ulaankhuaran final station-4th section),11100370,8,07:30,10,07:30,,22:38,start
21:12,"['000000058', '000000056', '000000054', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000145', '000000161', '000000163', '000000166', '000000167', '000000168', '000000176', '000000260', '000000262', '000000264', '000000266', '000000224', '000000222', '000000217', '000000220', '000000658', '000000657', '000000190', '000000192']",1,Ч:38 (HMK-Khailaast new final station),11100380,4,07:53,5,07:30,,22:15,start
22:52,"['000000415', '000000289', '000000288', '000000258', '000000177', '000000182', '000000165', '000000164']",1,"Ч:39 (Sansar /Tunnel/-Final station of 3, 4th section)",11100390,10,07:29,15,07:30,,23:31,start
22:00,"['000000020', '000000018', '000000011', '000000009', '000000006', '000000145', '000000161', '000000163', '000000166', '000000167', '000000168', '000000176', '000000256', '000000271', '000000305', '000000417', '000000416']",1,Ч:4 (5 Shar-Sansar gas station),11100040,8,07:33,9,07:30,,22:39,start
21:08,"['000000687', '000000020', '000000018', '000000011', '000000009', '000000006', '000000004', '000000147', '000000149', '000000151', '000001225', '000000248', '000000250', '000000259', '000000307', '000000290', '000000937', '000000371', '000000373', '000000375', '000000377', '000000379', '000000583', '000000426', '000000428', '000001400', '000001227']",1,Ч:40 (Altan taria-Ulaankhuaran final station),11100400,3,07:24,4,07:20,,22:15,start
20:59,"['000000130', '000001280', '000000132', '000001610', '000000128', '000001278', '000000654', '000000126', '000000112', '000000624', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000256', '000000271', '000000305', '000000417', '000000413', '000000401', '000000402']",1,Ч:41 (Baruun salaa final station-Infectious Disease Hospital),11100410,5,07:42,6,07:20,,21:57,start
21:52,"['000000554', '000001426', '100000029', '100000030', '000000576', '000000549', '000000542', '000000701', '000000700', '000000629', '000000178', '000001404', '000000152', '000000150', '000000148', '000000145', '000000745', '000000746', '000000017', '000000013', '000000019', '000000018']",1,Ч:42 (Zaisan-Hyundai kia company mongolia),11100420,8,07:25,9,07:20,,22:39,start
22:01,"['000000117', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000259', '000000203']",1,Ч:43 (Bayankhoshuu-Ard cinema),11100430,10,07:19,15,07:20,,22:30,start
21:59,"['000000090', '000000089', '000000087', '000000085', '000000083', '000000081', '000000079', '000000077', '000000075', '000000070', '000000068', '000000066', '000000064', '000001411', '000000062', '000000052', '000000050', '000000048', '000000018', '000000011', '000000009', '000000006', '000000004', '000000634', '000000561', '000000725', '000000533', '000000531', '000000534', '000000538', '000000540', '000000780', '000000778', '000000776', '000000621']",1,Ч:44 (Narangiin gol-Dunjingarav trade center),11100440,4,07:29,8,07:30,,23:06,start
