end_time_at_start_point,station_list,result_code,line_name,line_id,weekday_interval,start_time_at_end_point,holiday_interval,start_time_at_start_point,line_type,end_time_at_end_point
21:15,"['000000287', '100000131', '000000202', '000000258', '000000198', '000000196', '000000194', '000000141', '000000139', '000001294', '000000642', '000000640', '000000115', '000001245', '000000956', '000000106', '000000108', '000000110', '000000118', '000000120', '000000122', '000000630', '000001231']",1,Ч:48A (Zuun salaa station-Mongolian national university of education),11100482,8,07:39,12,07:30,,21:58
21:02,"['000000621', '000001446', '000000405', '000000400', '000000414', '000000416', '000000306', '000000270', '000000257', '000000177', '000001001', '000001184', '000001183', '000000186', '000000184', '000000005', '000000007', '000000008', '000000010', '000000013']",1,Ч:49 (Flat 34-Dunjingarav trade center),11100490,4,07:49,5,07:20,,22:01
21:59,"['000001464', '000000531', '000000534', '000000538', '000000540', '000000542', '000000282', '000000279', '000000281', '000000369', '000000371', '000000373', '000000375', '000000377', '000000379', '000000614', '000001227']",1,Ч:50 (Ulaankhuaran final station-3rd power plant),11100500,5,07:16,7,07:30,,22:46
22:18,"['000000621', '000001446', '000000405', '000000400', '000000372', '000000370', '000000286', '000000288', '000000258', '000000177', '000000169', '000000170', '000000171', '000000165', '000000164', '000001535']",1,Ч:51 (Duukhee market-Dunjingarav trade center),11100510,4,07:43,5,07:30,,23:01
21:51,"['000000554', '000001426', '100000029', '100000030', '000000576', '000000549', '000000542', '000000282', '000000202', '000000258', '000000177', '000000169', '000000170', '000000171', '000000165', '000000164', '000001535']",1,Ч:52 (Duukhee market-Zaisan),11100520,7,07:29,10,07:30,,22:29
21:50,"['000000286', '000001349', '000000203', '000000283', '000001337', '000000541', '000000539', '000000535', '000000720', '000000528', '000000717', '000001312', '000000530', '000000526', '000000524', '000000522', '000000517', '000001272']",1,Ч:53 (Yarmag final station-Mongolian national university of education),11100530,5,07:24,9,07:20,,22:30
21:46,"['000000117', '000000114', '000000641', '000000643', '000001295', '000000140', '000000142', '000001436', '000000195', '000000197', '000000199', '000000177', '000000182', '000000165', '000000164', '000000163', '000000166', '000000703', '000000150', '000000148', '000000634', '000000561', '000000725', '000000533', '000000531', '000000720', '000000528', '000000717', '000001312', '000000530', '000000526', '000000524', '000000522', '000000517', '000001272']",1,Ч:54 (Yarmag final station-Bayankhoshuu),11100540,4,07:10,7,07:20,,22:56
21:43,"['000000554', '000001426', '100000029', '100000030', '000000576', '000000549', '000000542', '000000282', '000000286', '000000290', '000000292', '000000304', '000000301', '000000265', '000000215', '000000214', '000000212', '000000210', '000000208', '000000205', '000001439', '000000678']",1,Ч:55 (Autobus baaz-Zaisan),11100550,4,07:24,7,07:30,,22:32
21:08,"['000000307', '000000287', '100000131', '000000193', '100000010', '000000155', '000000153', '000000152', '000000150', '000000148', '000000005', '000000007', '000000008', '000000010', '000000019', '000000047', '000000049', '000000051', '000000061', '000001410', '000000091', '000000093', '000000095', '000000135', '000001282']",1,Ч:57 (Ulaanchuluut-National university of mongolia),11100570,5,07:31,6,07:20,,22:03
21:01,"['000000307', '000000287', '100000131', '000000193', '100000010', '000000155', '000000153', '000000152', '000000150', '000000148', '000000005', '000000007', '000000008', '000000010', '000000019', '000000047', '000000049', '000000051', '000000061', '000001410', '000000091', '000000093', '000000095', '000000135', '000001282', '000000940', '000000942', '000000945', '000001348']",1,Ч:57Б (Altan ovoo street 48-National university of mongolia),11100573,15,07:50,20,07:30,,22:03
21:58,"['000000164', '000000163', '000000166', '000000167', '000000168', '000001001', '000000274', '000000273', '100000039', '000000283', '000001337', '000000541', '000000539', '000000535', '000000532', '000000533']",1,"Ч:58 (3rd power plant-Final station of 3, 4th section)",11100580,4,07:22,5,07:20,,22:38
21:32,"['000000150', '000000148', '000000005', '000000007', '000000008', '000000010', '000000019', '000000047', '000000049', '000000051', '000000061', '000001410', '000000065', '100000042']",1,Ч:6 (65th market-10th section),11100060,8,07:19,10,07:20,,22:07
21:10,"['000000380', '000000378', '000000376', '000000374', '000000372', '000000370', '000000585', '100000131', '000000283', '000001337', '000000541', '000000557', '000000629', '000000628', '100000032', '000000672', '000001437', '000000559', '000000533']",1,Ч:61 (3rd power plant-Officer station),11100612,5,07:24,7,07:30,,22:01
21:50,"['000000150', '000000148', '000000005', '000000007', '000000008', '000000010', '000000019', '000000047', '000000049', '000000051', '000000061', '000001410', '000000065', '000000067', '000000069', '000001370', '000001368', '000001366', '000001371', '000000950', '000000952', '000000954', '000001348']",1,Ч:62 (Altan ovoo street 48-10th section),11100620,6,07:13,9,07:20,,22:30
21:56,"['000000286', '000000288', '000000203', '000000279', '000000308', '000001339', '000000619', '100000046', '000001376', '000001520']",1,Ч:63 (Khan hills-Mongolian national university of education),11100630,10,07:35,12,07:30,,22:21
21:56,"['000000402', '000000400', '000000373', '000000375', '000000377', '000000379', '000000583', '000000426', '000001205', '000001207', '000001209', '000001211', '000000770']",1,Ч:64 (Tsagaan davaany zadgai-Infectious Disease Hospital),11100640,20,08:00,30,07:30,,22:26
21:33,"['000000380', '000000378', '000000376', '000000374', '000000401', '000000406', '000001445', '000000775', '000000777', '000000779', '000000548', '000000551', '000000552', '000001427', '000001233']",1,Ч:65 (Zaisan-Officer station),11100650,5,07:30,8,07:30,,22:21
21:41,"['000000291', '000000289', '000000287', '100000131', '000000283', '000000543', '000000548', '000000551', '000000552', '000001427', '000001233']",1,Ч:66 (Zaisan-11th section),11100660,12,07:30,15,07:30,,22:09
21:56,"['000000505', '000000507', '000000509', '000001459']",1,Ч:67 (Morin 3-Nisekh),11100670,30,07:15,60,07:00,,22:11
22:02,"['000000916', '000000914', '000000915', '000000505', '000000507', '000000509', '000000503', '000000512', '000000510', '000000138', '000000563', '000000638', '000000864']",1,Ч:68 (General Office of Archives-Nisekh final station),11100680,20,07:20,30,07:20,,22:21
21:53,"['000001313', '000000718', '000000527', '000000721', '000000534', '000000538', '000000540', '000000542', '000000282', '000000193', '100000010', '000000248', '000000250', '000000177', '000000182', '000000165', '000000164', '000000162', '000001396', '000000161']",1,Ч:69Б (Hospital for Injury and Trauma-British school),14100129,5,07:13,7,07:30,,22:42
21:51,"['000000203', '000000283', '000001337', '000000541', '000000539', '000000535', '000000720', '000000528', '000000717', '000001312', '000000530', '000000526', '000000524', '000000522', '000000520', '000000715', '000000632', '000000511', '000000513', '000001182', '000000508', '000000506', '000001232']",1,Ч:7 (Nisekh-Ard cinema),11100070,2,07:30,3,07:20,,22:46
