station_id,station_name
773,Сүмбэр Орд
771,Баянмонгол хороолол
546,Жаргалан хотхон
544,Төв цэнгэлдэх хүрээлэн
1337,120 Мянгат
541,Ажилчдын соёлын ордон
539,Таван богд компани
535,Жем
532,Барилга угсралт компани
1464,ТЭЦ-3
36,Тахилтын эцэс
820,Тахилт 5
822,Тахилт 4
824,Тахилт 3
826,Тахилт 2
828,Тахилт 1
830,Тахилт давхар
832,Тахилт зам анги
834,Тахилт задгай
836,Ногоон хашаа
838,Тахилт худаг
32,Тахилт жаргалант
841,СХД 22-р хороо
847,Номгон
843,Тойрог
31,Орбит хуучин эцэс
29,Хүнс трейд
892,Зоорь
27,Цэргийн хотхон
148,3-р эмнэлэг
505,НИСЭХ
507,7-р сургууль
509,Орон сууц
1285,Яармагийн дэнж-1
514,Яармагийн дэнж
1287,Элиганс хороолол
1289,Сонсголон завсар
1291,Бетон зуурмаг
46,Карьер
1293,Сонсголон ШТС
44,Дэвшил компани
42,Мах маркет
40,Монос эмийн үйлдвэр
933,Баруун салааны шинэ эцэс
100000111,Баруун салааны 12-р буудал
100000110,Баруун салааны 11-р буудал
100000108,Баруун салааны 10-р буудал
100000106,Баруун салааны 9-р буудал
100000104,Баруун салааны 8-р буудал
130,БАРУУН САЛААНЫ ЭЦЭС
1280,Баруун салааны 6-р буудал
132,Баруун салааны 5-р буудал
1610,Баруун салааны завсар
128,Баруун салааны 4-р буудал
1278,Баруун салааны 3-р буудал
654,Баруун салааны 2-р буудал
126,Баруун салааны 1-р буудал
105,Баян хошуу хуучин эцэс
103,7-р хороо
101,Цэргийн анги
649,Хилчин хотхон
749,Шар тал дэлгүүр
751,Хуруувчхан дэлгүүр
753,Өнхрүүш компани
62,Авто сургууль
52,21-р хороолол
50,Цахилгаан тээвэр
48,Геологийн төв лаборатори
966,Зээлийн 1
968,Зээлийн 2
970,Зээлийн 3
972,Зээлийн 4
974,Шар дэлгүүр
1412,5 Шар
255,6-р Хороолол
253,Нарны титэм
251,Бөмбөгөр худалдааны төв
155,Баруун 4 зам
153,ТБД андууд
1403,Богд ар хороолол
671,Вокзал
724,Олимп хотхон
560,Мотобуудлага спорт төв
635,ТЭХ барилгын зах
145,3-р эмнэлэг
161,Гэмтлийн эмнэлэг
169,Ахуй Үйлчилгээний ордон
170,Хүрээ дээд сургууль
171,Бичлийн аркны буудал
188,13-р сургууль
634,ТЭХ барилгын зах
561,Мотобуудлага спорт төв
725,Олимп хотхон
533,ТЭЦ-3
770,Цагаан давааны задгай
1544,Монелийн 43
441,Монелийн 38
762,430-р худаг
764,Цэлмэг хүнс дэлгүүр
766,Фунтик
768,Капитрон банк
424,Цайз зах
427,72-р хотхон
584,Алдар спорт хороо
378,Баянзүрх дүүрэг
376,Монгол кино үйлдвэр
374,Жуковын музей
414,Сансарын үйлчилгээний төв
1547,Гадна тойруу 1
1549,Гадна тойруу 2
1551,Гадна тойруу 3
1555,Рашааны гудамж 1
1557,Рашааны гудамж 2
